player,position,team,opponent,salary
CeeDee Lamb,WR,DAL,CLE,8900    
Tyreek Hill,WR,MIA,JAX,8700    
Christian McCaffrey,RB,SF,NYJ,8600    
Justin Jefferson,WR,MIN,NYG,8400    
Amon-Ra St Brown,WR,DET,LAR,8200    
Josh Allen,QB,BUF,ARI,8000    
AJ Brown,WR,PHI,GB,8000    
Jonathan Taylor,RB,IND,HOU,7800    
JaMarr Chase,WR,CIN,NE,7800    
Lamar Jackson,QB,BAL,KC,7800    
Bijan Robinson,RB,ATL,PIT,7700    
Davante Adams,WR,LV,LAC,7600    
CJ Stroud,QB,HOU,IND,7500    
Breece Hall,RB,NYJ,SF,7500    
Puka Nacua,WR,LAR,DET,7400    
Mike Evans,WR,TB,WAS,7300    
Jalen Hurts,QB,PHI,GB,7300    
Travis Etienne,RB,JAX,MIA,7200    
Marvin Harrison,WR,ARI,BUF,7200    
Cooper Kupp,WR,LAR,DET,7100    
Dak Prescott,QB,DAL,CLE,7100    
Nico Collins,WR,HOU,IND,7000    
Saquon Barkley,RB,PHI,GB,7000    
Deebo Samuel,WR,SF,NYJ,7000    
Tua Tagovailoa,QB,MIA,JAX,7000    
Garrett Wilson,WR,NYJ,SF,6900    
Derrick Henry,RB,BAL,KC,6900    
Patrick Mahomes,QB,KC,BAL,6900    
Keenan Allen,WR,CHI,TEN,6900    
James Cook,RB,BUF,ARI,6900    
DeVon Achane,RB,MIA,JAX,6800    
Michael Pittman,WR,IND,HOU,6800    
Brandon Aiyuk,WR,SF,NYJ,6800    
Kyren Williams,RB,LAR,DET,6800    
Alvin Kamara,RB,NO,CAR,6700    
Stefon Diggs,WR,HOU,IND,6700    
DeVonta Smith,WR,PHI,GB,6700    
Chris Olave,WR,NO,CAR,6600    
Joe Mixon,RB,HOU,IND,6600    
Travis Kelce,TE,KC,BAL,6600    
Isiah Pacheco,RB,KC,BAL,6600    
Rashee Rice,WR,KC,BAL,6500    
Jahmyr Gibbs,RB,DET,LAR,6500    
Aaron Jones,RB,MIN,NYG,6500    
DJ Moore,WR,CHI,TEN,6500    
Jordan Love,QB,GB,PHI,6400    
Amari Cooper,WR,CLE,DAL,6400    
Sam LaPorta,TE,DET,LAR,6400    
Raheem Mostert,RB,MIA,JAX,6400    
Kyler Murray,QB,ARI,BUF,6400    
Anthony Richardson,QB,IND,HOU,6300    
Jared Goff,QB,DET,LAR,6300    
Rachaad White,RB,TB,WAS,6300    
Jaylen Waddle,WR,MIA,JAX,6300    
Josh Jacobs,RB,GB,PHI,6200    
Brock Purdy,QB,SF,NYJ,6200    
DK Metcalf,WR,SEA,DEN,6200    
Trevor Lawrence,QB,JAX,MIA,6200    
James Conner,RB,ARI,BUF,6200    
Matthew Stafford,QB,LAR,DET,6100    
Zay Flowers,WR,BAL,KC,6100    
Kenneth Walker,RB,SEA,DEN,6100    
Tee Higgins,WR,CIN,NE,6100    
Trey McBride,TE,ARI,BUF,6100    
David Montgomery,RB,DET,LAR,6100    
Kirk Cousins,QB,ATL,PIT,6100    
DAndre Swift,RB,CHI,TEN,6000    
Drake London,WR,ATL,PIT,6000    
Deshaun Watson,QB,CLE,DAL,6000    
Austin Ekeler,RB,WAS,TB,6000    
Rhamondre Stevenson,RB,NE,CIN,5900    
Tony Pollard,RB,TEN,CHI,5900    
Caleb Williams,QB,CHI,TEN,5900    
Aaron Rodgers,QB,NYJ,SF,5900    
Malik Nabers,WR,NYG,MIN,5900    
Zack Moss,RB,CIN,NE,5800    
Calvin Ridley,WR,TEN,CHI,5800    
Dalton Kincaid,TE,BUF,ARI,5800    
Chris Godwin,WR,TB,WAS,5800    
Ezekiel Elliott,RB,DAL,CLE,5800    
Justin Herbert,QB,LAC,LV,5800    
George Pickens,WR,PIT,ATL,5700    
Mike Williams,WR,NYJ,SF,5700    
Jayden Daniels,QB,WAS,TB,5700    
Zamir White,RB,LV,LAC,5700    
Devin Singletary,RB,NYG,MIN,5700    
Romeo Doubs,WR,GB,PHI,5600    
Baker Mayfield,QB,TB,WAS,5600    
David Njoku,TE,CLE,DAL,5600    
Courtland Sutton,WR,DEN,SEA,5600    
Jaylen Warren,RB,PIT,ATL,5600    
Najee Harris,RB,PIT,ATL,5600    
Terry McLaurin,WR,WAS,TB,5600    
Christian Kirk,WR,JAX,MIA,5500    
Javonte Williams,RB,DEN,SEA,5500    
Tank Dell,WR,HOU,IND,5500    
Zach Charbonnet,RB,SEA,DEN,5500    
Jerome Ford,RB,CLE,DAL,5500    
Geno Smith,QB,SEA,DEN,5500    
Xavier Worthy,WR,KC,BAL,5500    
Evan Engram,TE,JAX,MIA,5500    
Daniel Jones,QB,NYG,MIN,5400    
Russell Wilson,QB,PIT,ATL,5400    
Jayden Reed,WR,GB,PHI,5400    
Tyler Lockett,WR,SEA,DEN,5400    
Brandin Cooks,WR,DAL,CLE,5400    
Ty Chandler,RB,MIN,NYG,5400    
Nick Chubb,RB,CLE,DAL,5400    
Derek Carr,QB,NO,CAR,5300    
Gardner Minshew,QB,LV,LAC,5300    
Will Levis,QB,TEN,CHI,5300    
Jordan Addison,WR,MIN,NYG,5300    
George Kittle,TE,SF,NYJ,5300    
Diontae Johnson,WR,CAR,NO,5300    
Gus Edwards,RB,LAC,LV,5300    
Chuba Hubbard,RB,CAR,NO,5300    
Aidan OConnell,QB,LV,LAC,5300    
Bryce Young,QB,CAR,NO,5200    
Brian Robinson,RB,WAS,TB,5200    
Khalil Herbert,RB,CHI,TEN,5200    
Joshua Palmer,WR,LAC,LV,5200    
Jake Ferguson,TE,DAL,CLE,5200    
Sam Darnold,QB,MIN,NYG,5200    
Adam Thielen,WR,CAR,NO,5200    
Jacoby Brissett,QB,NE,CIN,5100    
Tyjae Spears,RB,TEN,CHI,5100    
Khalil Shakir,WR,BUF,ARI,5100    
Trey Benson,RB,ARI,BUF,5100    
Jarrett Stidham,QB,DEN,SEA,5100    
Jerry Jeudy,WR,CLE,DAL,5100    
Jakobi Meyers,WR,LV,LAC,5000    
Drake Maye,QB,NE,CIN,5000    
Tyrod Taylor,QB,NYJ,SF,5000    
Tank Bigsby,RB,JAX,MIA,5000    
Keon Coleman,WR,BUF,ARI,5000    
Jameis Winston,QB,CLE,DAL,5000    
Joe Flacco,QB,IND,HOU,5000    
Tyler Allgeier,RB,ATL,PIT,5000    
Bo Nix,QB,DEN,SEA,5000    
