year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,1,Josh Allen,QB,BUF,ARI,A+,1,31.2,24.9,8000
2024,1,Jalen Hurts,QB,PHI,GB,A,2,18.4,22.5,7300
2024,1,Patrick Mahomes,QB,KC,BAL,A,3,16.1,21.5,6900
2024,1,Lamar Jackson,QB,BAL,KC,A,4,25.1,20.5,7800
2024,1,Anthony Richardson,QB,IND,HOU,A,5,27.1,19.7,6300
2024,1,CJ Stroud,QB,HOU,IND,A,6,18.7,19.4,7500
2024,1,Kyler Murray,QB,ARI,BUF,B+,7,14.2,19.0,6400
2024,1,Jordan Love,QB,GB,PHI,B,8,17.4,18.7,6400
2024,1,Jared Goff,QB,DET,LAR,B,9,12.4,18.3,6300
2024,1,Jayden Daniels,QB,WAS,TB,B,10,28.2,18.2,5700
2024,1,Tua Tagovailoa,QB,MIA,JAX,B,12,18.6,17.9,7000
2024,1,Trevor Lawrence,QB,JAX,MIA,B-,13,11.3,17.8,6200
2024,1,Caleb Williams,QB,CHI,TEN,C+,14,7.2,17.6,5900
2024,1,Matthew Stafford,QB,LAR,DET,C,15,15.7,17.5,6100
2024,1,Dak Prescott,QB,DAL,CLE,C-,16,11.5,17.4,7100
2024,1,Baker Mayfield,QB,TB,WAS,C-,17,29.7,17.2,5600
2024,1,Bijan Robinson,RB,ATL,PIT,A+,1,16.1,21.2,7700
2024,1,Breece Hall,RB,NYJ,SF,A+,2,18.3,18.5,7500
2024,1,Saquon Barkley,RB,PHI,GB,A,3,33.2,18.1,7000
2024,1,Jonathan Taylor,RB,IND,HOU,A,4,10.8,17.0,7800
2024,1,Travis Etienne,RB,JAX,MIA,A,5,11.9,16.8,7200
2024,1,Jahmyr Gibbs,RB,DET,LAR,A,6,17.4,16.4,6500
2024,1,Rachaad White,RB,TB,WAS,A,7,16.6,16.3,6300
2024,1,DeVon Achane,RB,MIA,JAX,A,8,23.0,16.2,6800
2024,1,Alvin Kamara,RB,NO,CAR,A,9,22.0,15.6,6700
2024,1,Kyren Williams,RB,LAR,DET,A-,10,14.4,15.1,6800
2024,1,James Cook,RB,BUF,ARI,A-,11,13.3,15.1,6900
2024,1,Kenneth Walker,RB,SEA,DEN,A-,12,18.9,15.0,6100
2024,1,Josh Jacobs,RB,GB,PHI,A-,13,12.4,14.8,6200
2024,1,Derrick Henry,RB,BAL,KC,B+,14,10.6,14.8,6900
2024,1,Isiah Pacheco,RB,KC,BAL,B+,15,15.8,14.7,6600
2024,1,Joe Mixon,RB,HOU,IND,B+,16,26.8,14.3,6600
2024,1,Aaron Jones,RB,MIN,NYG,B,17,18.9,14.2,6500
2024,1,James Conner,RB,ARI,BUF,B,18,19.3,13.3,6200
2024,1,Rhamondre Stevenson,RB,NE,CIN,B,19,21.6,13.1,5900
2024,1,Javonte Williams,RB,DEN,SEA,B-,20,3.3,12.9,5500
2024,1,David Montgomery,RB,DET,LAR,B-,21,16.3,12.6,6100
2024,1,Raheem Mostert,RB,MIA,JAX,B-,22,3.9,12.6,6400
2024,1,DAndre Swift,RB,CHI,TEN,B-,23,5.0,11.9,6000
2024,1,Jerome Ford,RB,CLE,DAL,C+,24,18.9,11.8,5500
2024,1,Devin Singletary,RB,NYG,MIN,C+,25,9.2,11.8,5700
2024,1,Najee Harris,RB,PIT,ATL,C+,26,8.9,11.7,5600
2024,1,Zamir White,RB,LV,LAC,C+,27,4.6,11.6,5700
2024,1,Chuba Hubbard,RB,CAR,NO,C,28,1.4,11.5,5300
2024,1,Tony Pollard,RB,TEN,CHI,C,29,18.4,11.2,5900
2024,1,Brian Robinson,RB,WAS,TB,C,30,17.9,11.1,5200
2024,1,Zack Moss,RB,CIN,NE,C,31,14.1,10.7,5800
2024,1,Chase Brown,RB,CIN,NE,C,32,5.3,10.6,5000
2024,1,Austin Ekeler,RB,WAS,TB,C,33,10.2,10.4,6000
2024,1,Tyjae Spears,RB,TEN,CHI,C,34,7.2,10.4,5100
2024,1,Jaylen Warren,RB,PIT,ATL,C-,35,4.0,10.2,5600
2024,1,Gus Edwards,RB,LAC,LV,C-,36,3.8,10.1,5300
2024,1,Ezekiel Elliott,RB,DAL,CLE,C-,37,12.9,9.3,5800
2024,1,Amon-Ra St Brown,WR,DET,LAR,A+,1,4.3,20.8,8200
2024,1,Tyreek Hill,WR,MIA,JAX,A+,2,26.0,19.0,8700
2024,1,Justin Jefferson,WR,MIN,NYG,A+,3,15.9,18.8,8400
2024,1,CeeDee Lamb,WR,DAL,CLE,A+,4,13.6,18.7,8900
2024,1,AJ Brown,WR,PHI,GB,A+,5,22.9,17.3,8000
2024,1,Garrett Wilson,WR,NYJ,SF,A,6,12.0,16.9,6900
2024,1,Puka Nacua,WR,LAR,DET,A,7,8.2,16.8,7400
2024,1,Mike Evans,WR,TB,WAS,A,8,23.1,16.1,7300
2024,1,Davante Adams,WR,LV,LAC,A,9,10.9,15.8,7600
2024,1,Cooper Kupp,WR,LAR,DET,A,10,32.0,15.8,7100
2024,1,JaMarr Chase,WR,CIN,NE,A,11,12.2,15.6,7800
2024,1,Chris Olave,WR,NO,CAR,A,12,3.1,15.3,6600
2024,1,Marvin Harrison,WR,ARI,BUF,A,13,1.4,15.3,7200
2024,1,Michael Pittman,WR,IND,HOU,A,14,7.1,15.2,6800
2024,1,Jaylen Waddle,WR,MIA,JAX,A,15,16.2,15.2,6300
2024,1,Drake London,WR,ATL,PIT,A,16,3.5,15.1,6000
2024,1,Nico Collins,WR,HOU,IND,A,17,17.7,14.9,7000
2024,1,Malik Nabers,WR,NYG,MIN,A-,18,11.6,14.7,5900
2024,1,Rashee Rice,WR,KC,BAL,A-,19,17.3,14.6,6500
2024,1,Deebo Samuel,WR,SF,NYJ,A-,20,18.7,14.5,7000
2024,1,DK Metcalf,WR,SEA,DEN,A-,21,5.9,14.5,6200
2024,1,DJ Moore,WR,CHI,TEN,B+,22,10.0,14.5,6500
2024,1,DeVonta Smith,WR,PHI,GB,B+,23,15.4,14.2,6700
2024,1,Stefon Diggs,WR,HOU,IND,B,24,21.9,14.0,6700
2024,1,Terry McLaurin,WR,WAS,TB,B,25,3.7,13.9,5600
2024,1,Amari Cooper,WR,CLE,DAL,B,26,3.6,13.7,6400
2024,1,Chris Godwin,WR,TB,WAS,B,27,22.3,13.5,5800
2024,1,Brandon Aiyuk,WR,SF,NYJ,B-,28,4.8,13.4,6800
2024,1,Christian Kirk,WR,JAX,MIA,B-,29,4.0,13.4,5500
2024,1,Zay Flowers,WR,BAL,KC,B-,30,11.1,13.3,6100
2024,1,George Pickens,WR,PIT,ATL,B-,31,13.5,13.3,5700
2024,1,Tank Dell,WR,HOU,IND,C+,32,8.9,13.0,5500
2024,1,Diontae Johnson,WR,CAR,NO,C+,33,3.9,12.8,5300
2024,1,Calvin Ridley,WR,TEN,CHI,C+,34,8.0,12.7,5800
2024,1,Keenan Allen,WR,CHI,TEN,C+,35,6.9,12.3,6900
2024,1,Jaxon Smith-Njigba,WR,SEA,DEN,C+,36,3.9,12.1,4900
2024,1,Jayden Reed,WR,GB,PHI,C+,37,33.1,12.0,5400
2024,1,Courtland Sutton,WR,DEN,SEA,C,38,7.8,12.0,5600
2024,1,Xavier Worthy,WR,KC,BAL,C,39,20.8,11.8,5500
2024,1,Christian Watson,WR,GB,PHI,C,40,10.3,11.6,4700
2024,1,Joshua Palmer,WR,LAC,LV,C,41,3.5,11.5,5200
2024,1,Brian Thomas,WR,JAX,MIA,C,42,14.7,11.4,4700
