player,position,team,opponent,salary
Christian McCaffrey,RB,SF,GB,8500
Amon-Ra St Brown,WR,DET,IND,8300
Saquon Barkley,RB,PHI,LAR,8200
Justin Jefferson,WR,MIN,CHI,8100
Lamar Jackson,QB,BAL,LAC,8000
Joe Mixon,RB,HOU,TEN,8000
AJ Brown,WR,PHI,LAR,7800
Jalen Hurts,QB,PHI,LAR,7800
Derrick Henry,RB,BAL,LAC,7800
Nico Collins,WR,HOU,TEN,7600
Cooper Kupp,WR,LAR,PHI,7500
DeVon Achane,RB,MIA,NE,7500
Malik Nabers,WR,NYG,TB,7400
Kyren Williams,RB,LAR,PHI,7400
CeeDee Lamb,WR,DAL,WAS,7300
Jahmyr Gibbs,RB,DET,IND,7300
Tyreek Hill,WR,MIA,NE,7200
Jonathan Taylor,RB,IND,DET,7100
Puka Nacua,WR,LAR,PHI,7100
JK Dobbins,RB,LAC,BAL,7000
Jayden Daniels,QB,WAS,DAL,7000
Mike Evans,WR,TB,NYG,7000
Kenneth Walker,RB,SEA,ARI,6900
George Pickens,WR,PIT,CLE,6900
Josh Jacobs,RB,GB,SF,6800
Terry McLaurin,WR,WAS,DAL,6800
Patrick Mahomes,QB,KC,CAR,6800
Zay Flowers,WR,BAL,LAC,6700
Jordan Love,QB,GB,SF,6700
David Montgomery,RB,DET,IND,6700
Chuba Hubbard,RB,CAR,KC,6600
DK Metcalf,WR,SEA,ARI,6600
Jared Goff,QB,DET,IND,6600
James Conner,RB,ARI,SEA,6500
Deebo Samuel,WR,SF,GB,6500
CJ Stroud,QB,HOU,TEN,6500
Brock Purdy,QB,SF,GB,6400
Tank Dell,WR,HOU,TEN,6400
Aaron Jones,RB,MIN,CHI,6400
Bo Nix,QB,DEN,LV,6300
Jaxon Smith-Njigba,WR,SEA,ARI,6300
Brock Bowers,TE,LV,DEN,6300
Josh Downs,WR,IND,DET,6200
Isiah Pacheco,RB,KC,CAR,6200
Najee Harris,RB,PIT,CLE,6200
Kyler Murray,QB,ARI,SEA,6200
Marvin Harrison,WR,ARI,SEA,6100
Baker Mayfield,QB,TB,NYG,6100
DAndre Swift,RB,CHI,MIN,6100
Russell Wilson,QB,PIT,CLE,6000
George Kittle,TE,SF,GB,6000
Tyrone Tracy,RB,NYG,TB,6000
Jameson Williams,WR,DET,IND,6000
Nick Chubb,RB,CLE,PIT,6000
Ladd McConkey,WR,LAC,BAL,6000
Jayden Reed,WR,GB,SF,5900
Rhamondre Stevenson,RB,NE,MIA,5900
Sam Darnold,QB,MIN,CHI,5900
Jerry Jeudy,WR,CLE,PIT,5900
Matthew Stafford,QB,LAR,PHI,5900
Tua Tagovailoa,QB,MIA,NE,5800
Tony Pollard,RB,TEN,HOU,5800
Travis Kelce,TE,KC,CAR,5800
DeVonta Smith,WR,PHI,LAR,5800
Courtland Sutton,WR,DEN,LV,5800
Kareem Hunt,RB,KC,CAR,5700
David Njoku,TE,CLE,PIT,5700
Jameis Winston,QB,CLE,PIT,5700
Geno Smith,QB,SEA,ARI,5700
Calvin Ridley,WR,TEN,HOU,5700
Brian Robinson,RB,WAS,DAL,5600
Anthony Richardson,QB,IND,DET,5600
Trey McBride,TE,ARI,SEA,5600
Jauan Jennings,WR,SF,GB,5600
Austin Ekeler,RB,WAS,DAL,5600
DJ Moore,WR,CHI,MIN,5500
Cedric Tillman,WR,CLE,PIT,5500
Rico Dowdle,RB,DAL,WAS,5500
Cade Otton,TE,TB,NYG,5500
Drake Maye,QB,NE,MIA,5500
Rachaad White,RB,TB,NYG,5400
DeAndre Hopkins,WR,KC,CAR,5400
Justin Herbert,QB,LAC,BAL,5400
Jaylen Waddle,WR,MIA,NE,5300
Michael Pittman,WR,IND,DET,5300
Joe Flacco,QB,IND,DET,5300
Bucky Irving,RB,TB,NYG,5300
Javonte Williams,RB,DEN,LV,5200
WanDale Robinson,WR,NYG,TB,5200
Daniel Jones,QB,NYG,TB,5200
Jaylen Warren,RB,PIT,CLE,5200
Christian Watson,WR,GB,SF,5200
Alexander Mattison,RB,LV,DEN,5100
Jordan Addison,WR,MIN,CHI,5100
Caleb Williams,QB,CHI,MIN,5100
Justice Hill,RB,BAL,LAC,5100
Jakobi Meyers,WR,LV,DEN,5100
Xavier Worthy,WR,KC,CAR,5000
Xavier Legette,WR,CAR,KC,5000
Jordan Mason,RB,SF,GB,5000
Justin Fields,QB,PIT,CLE,5000
Cooper Rush,QB,DAL,WAS,5000
Raheem Mostert,RB,MIA,NE,5000
Devin Singletary,RB,NYG,TB,4900
Keenan Allen,WR,CHI,MIN,4900
Alec Pierce,WR,IND,DET,4900
Dameon Pierce,RB,HOU,TEN,4900
Mason Rudolph,QB,TEN,HOU,4900
Quentin Johnston,WR,LAC,BAL,4900
Will Levis,QB,TEN,HOU,4900
Gardner Minshew,QB,LV,DEN,4800
Rome Odunze,WR,CHI,MIN,4800
Tyler Lockett,WR,SEA,ARI,4800
Jonathon Brooks,RB,CAR,KC,4800
MarShawn Lloyd,RB,GB,SF,4800
Elijah Moore,WR,CLE,PIT,4800
Desmond Ridder,QB,LV,DEN,4800
Ricky Pearsall,WR,SF,GB,4700
Adam Thielen,WR,CAR,KC,4700
Malik Willis,QB,GB,SF,4700
Audric Estime,RB,DEN,LV,4700
Drew Lock,QB,NYG,TB,4700
Antonio Gibson,RB,NE,MIA,4700
Sean Tucker,RB,TB,NYG,4600
Roschon Johnson,RB,CHI,MIN,4600
Romeo Doubs,WR,GB,SF,4600
Andy Dalton,QB,CAR,KC,4600
Ezekiel Elliott,RB,DAL,WAS,4600
Bryce Young,QB,CAR,KC,4600
Darius Slayton,WR,NYG,TB,4600
Jaylen Wright,RB,MIA,NE,4500
Diontae Johnson,WR,BAL,LAC,4500
Brandin Cooks,WR,DAL,WAS,4500
Jerome Ford,RB,CLE,PIT,4500
